s x_s y_s F_val G_val
0 2.5 1.5 0.19635 0.196344
0.01 2.49995 1.51 0.193981 0.193976
0.02 2.4998 1.52 0.191664 0.19166
0.03 2.49955 1.53 0.189399 0.189394
0.04 2.4992 1.53999 0.187183 0.187179
0.05 2.49875 1.54998 0.185017 0.185013
0.06 2.4982 1.55996 0.182899 0.182895
0.07 2.49755 1.56994 0.180828 0.180825
0.08 2.4968 1.57991 0.178804 0.178801
0.09 2.49595 1.58988 0.176825 0.176823
0.1 2.495 1.59983 0.174892 0.17489
0.11 2.49396 1.60978 0.173002 0.173
0.12 2.49281 1.61971 0.171156 0.171154
0.13 2.49156 1.62963 0.169353 0.169351
0.14 2.49022 1.63954 0.167591 0.167589
0.15 2.48877 1.64944 0.16587 0.165869
0.16 2.48723 1.65932 0.16419 0.164189
0.17 2.48558 1.66918 0.162549 0.162548
0.18 2.48384 1.67903 0.160948 0.160947
0.19 2.482 1.68886 0.159385 0.159384
0.2 2.48007 1.69867 0.157859 0.157858
0.21 2.47803 1.70846 0.156371 0.15637
0.22 2.4759 1.71823 0.154919 0.154918
0.23 2.47367 1.72798 0.153502 0.153502
0.24 2.47134 1.7377 0.152121 0.152121
0.25 2.46891 1.7474 0.150775 0.150775
0.26 2.46639 1.75708 0.149463 0.149462
0.27 2.46377 1.76673 0.148184 0.148184
0.28 2.46106 1.77636 0.146938 0.146938
0.29 2.45824 1.78595 0.145725 0.145725
0.3 2.45534 1.79552 0.144543 0.144543
0.31 2.45233 1.80506 0.143394 0.143393
0.32 2.44924 1.81457 0.142275 0.142275
0.33 2.44604 1.82404 0.141186 0.141186
0.34 2.44275 1.83349 0.140128 0.140128
0.35 2.43937 1.8429 0.139099 0.139099
0.36 2.4359 1.85227 0.1381 0.1381
0.37 2.43233 1.86162 0.137129 0.137129
0.38 2.42866 1.87092 0.136186 0.136186
0.39 2.42491 1.88019 0.135272 0.135272
0.4 2.42106 1.88942 0.134385 0.134385
0.41 2.41712 1.89861 0.133525 0.133525
0.42 2.41309 1.90776 0.132692 0.132692
0.43 2.40897 1.91687 0.131886 0.131886
