t_removed,x_real,y_real,x_restored,y_restored
0.0046391228,0.1000463912,0.0000463902,0.1000463912,0.0000463895
0.0264738597,0.1002647386,0.0002647036,0.1002647386,0.0002647053
0.3637102810,0.1036371028,0.0036304886,0.1036371028,0.0036304748
4.8213947809,0.1482139478,0.0470516554,0.1482139479,0.0470517432
26.6151087585,0.3661510876,0.2307328869,0.3661510875,0.2307328207
71.6587999759,0.8165879998,0.4598388191,0.8165879998,0.4598388211
78.1994259170,0.8819942592,0.4762367485,0.8819942591,0.4762367483
82.8569874921,0.9285698749,0.4853058561,0.9285698749,0.4853058561
84.6449259691,0.9464492597,0.4882110851,0.9464492597,0.4882110850
85.6958987670,0.9569589877,0.4897696344,0.9569589877,0.4897696344
86.4250334177,0.9642503341,0.4907860141,0.9642503342,0.4907860141
86.9796687688,0.9697966876,0.4915235487,0.9697966876,0.4915235487
87.4491993806,0.9744919934,0.4921238700,0.9744919935,0.4921238701
87.8545308692,0.9785453078,0.4926243786,0.9785453078,0.4926243787
88.1931724625,0.9819317228,0.4930299405,0.9819317228,0.4930299405
88.4846708627,0.9848467052,0.4933698584,0.9848467052,0.4933698585
88.7407324962,0.9874073190,0.4936614425,0.9874073190,0.4936614425
88.9694551765,0.9896945419,0.4939163503,0.9896945419,0.4939163503
89.1759476839,0.9917594614,0.4941419888,0.9917594614,0.4941419888
89.3641808679,0.9936417854,0.4943439589,0.9936417854,0.4943439590
89.5375604537,0.9953755706,0.4945268554,0.9953755706,0.4945268553
89.6980029330,0.9969799812,0.4946934250,0.9969799812,0.4946934250
89.8474008451,0.9984739417,0.4948462120,0.9984739417,0.4948462119
89.9873154932,0.9998730644,0.4949872742,0.9998730643,0.4949872742
90.1184263736,1.0011841431,0.4951176810,1.0011841431,0.4951176810
90.2419913529,1.0024197554,0.4952390057,1.0024197554,0.4952390057
90.3591870878,1.0035916664,0.4953526619,1.0035916664,0.4953526619
90.4702178965,1.0047019181,0.4954590679,1.0047019181,0.4954590679
90.5761304447,1.0057609753,0.4955594149,1.0057609753,0.4955594149
90.6772410802,1.0067719998,0.4956541597,1.0067719998,0.4956541597
90.7738729647,1.0077382214,0.4957437456,1.0077382214,0.4957437457
90.8663181477,1.0086625586,0.4958285685,1.0086625586,0.4958285686
90.9551546221,1.0095507889,0.4959092665,1.0095507889,0.4959092664
91.0403251049,1.0104023375,0.4959858836,1.0104023375,0.4959858836
91.1225015468,1.0112239205,0.4960591090,1.0112239206,0.4960591090
91.2014138634,1.0120128356,0.4961287783,1.0120128356,0.4961287784
91.2779620318,1.0127780776,0.4961957522,1.0127780776,0.4961957522
91.3517701453,1.0135158858,0.4962597591,1.0135158858,0.4962597591
91.4231443510,1.0142293179,0.4963211212,1.0142293180,0.4963211212
91.4924887321,1.0149224099,0.4963802326,1.0149224098,0.4963802326
91.5596330002,1.0155934562,0.4964369909,1.0155934562,0.4964369909
91.6246878919,1.0162435605,0.4964915320,1.0162435605,0.4964915320
