t,x,y,vx,vy,kinetic_energy
0.0010000000,0.1000100000,0.0000100000,0.0100000000,0.0099999000,0.0000999990
0.0046391228,0.1000463912,0.0000463902,0.0100000000,0.0099995361,0.0000999954
0.0119173684,0.1001191737,0.0001191666,0.0100000000,0.0099988083,0.0000999881
0.0264738597,0.1002647386,0.0002647036,0.0100000000,0.0099973526,0.0000999735
0.0992563160,0.1009925632,0.0009920706,0.0100000000,0.0099900744,0.0000999008
0.3637102810,0.1036371028,0.0036304886,0.0100000000,0.0099636290,0.0000996370
1.3245998020,0.1132459980,0.0131582698,0.0100000000,0.0098675400,0.0000986842
4.8213947809,0.1482139478,0.0470516554,0.0100000000,0.0095178605,0.0000952948
19.3505374326,0.2935053743,0.1747832094,0.0100000000,0.0080649463,0.0000825217
26.6151087585,0.3661510876,0.2307328869,0.0100000000,0.0073384891,0.0000769267
62.9379653878,0.7293796539,0.4313202795,0.0100000000,0.0037062035,0.0000568680
71.6587999759,0.8165879998,0.4598388191,0.0100000000,0.0028341200,0.0000540161
76.0192172699,0.8601921727,0.4712461030,0.0100000000,0.0023980783,0.0000528754
78.1994259170,0.8819942592,0.4762367485,0.0100000000,0.0021800574,0.0000523763
82.1233007842,0.9212330078,0.4840211813,0.0100000000,0.0017876699,0.0000515979
82.8569874921,0.9285698749,0.4853058561,0.0100000000,0.0017143013,0.0000514694
83.9046284479,0.9390462845,0.4870469507,0.0100000000,0.0016095372,0.0000512953
84.6449259691,0.9464492597,0.4882110851,0.0100000000,0.0015355074,0.0000511789
85.2258004723,0.9522580047,0.4890861514,0.0100000000,0.0014774200,0.0000510914
85.6958987670,0.9569589877,0.4897696344,0.0100000000,0.0014304101,0.0000510230
86.0885736086,0.9608857361,0.4903236108,0.0100000000,0.0013911426,0.0000509676
86.4250334177,0.9642503341,0.4907860141,0.0099999999,0.0013574966,0.0000509214
86.7189126539,0.9671891265,0.4911806359,0.0099999998,0.0013281087,0.0000508819
86.9796687688,0.9697966876,0.4915235487,0.0099999997,0.0013020330,0.0000508476
87.2138071278,0.9721380711,0.4918256635,0.0099999995,0.0012786191,0.0000508174
87.4491993806,0.9744919934,0.4921238700,0.0099999992,0.0012550798,0.0000507876
87.6616926460,0.9766169259,0.4923883084,0.0099999987,0.0012338303,0.0000507612
87.8545308692,0.9785453078,0.4926243786,0.0099999981,0.0012145462,0.0000507375
88.0306516365,0.9803065151,0.4928367345,0.0099999972,0.0011969338,0.0000507163
88.1931724625,0.9819317228,0.4930299405,0.0099999960,0.0011806813,0.0000506970
88.3440714983,0.9834407124,0.4932069656,0.0099999945,0.0011655908,0.0000506792
88.4846708627,0.9848467052,0.4933698584,0.0099999925,0.0011515301,0.0000506629
88.6165323574,0.9861653190,0.4935208315,0.0099999901,0.0011383430,0.0000506478
88.7407324962,0.9874073190,0.4936614425,0.0099999870,0.0011259219,0.0000506337
88.8580249331,0.9885802416,0.4937928167,0.0099999832,0.0011141913,0.0000506205
88.9694551765,0.9896945419,0.4939163503,0.0099999786,0.0011030465,0.0000506081
89.0751660788,0.9907516484,0.4940323955,0.0099999731,0.0010924734,0.0000505965
89.1759476839,0.9917594614,0.4941419888,0.0099999664,0.0010823928,0.0000505855
89.2720775273,0.9927207562,0.4942455769,0.0099999586,0.0010727770,0.0000505750
89.3641808679,0.9936417854,0.4943439589,0.0099999494,0.0010635633,0.0000505651
89.4526230237,0.9945262020,0.4944376315,0.0099999386,0.0010547151,0.0000505556
89.5375604537,0.9953755706,0.4945268554,0.0099999260,0.0010462168,0.0000505465
89.6191965028,0.9961919245,0.4946119309,0.0099999116,0.0010380480,0.0000505379
